Date,HPG,VCB
2020-03-06,13473.22840343649,64889.887691424774
2020-03-09,12540.929116591553,60359.11446799985
2020-03-10,13022.115845285714,61357.42043248331
2020-03-11,12360.484093331243,59130.43020402021
2020-03-12,11578.555659203234,55060.41357958765
2020-03-13,11458.258977029693,54522.86421409656
2020-03-16,11488.333147573077,51527.94632064618
2020-03-17,11548.481488659847,51835.11738664109
2020-03-18,11849.223194093698,53217.387183618186
2020-03-19,11518.407318116462,50683.22588916018
2020-03-20,11187.591442139228,47227.55139671744
2020-03-23,10405.663008011217,43925.46243727216
2020-03-24,10285.366325837676,44539.80456926198
2020-03-25,10706.404713445067,47611.51522921108
2020-03-26,10195.143814207522,48533.02842719581
2020-03-27,9744.031256056747,49224.163325684356
2020-03-30,9834.253767686901,46843.5875642238
2020-03-31,10134.995473120753,47611.51522921108
2020-04-01,10375.588837467832,49915.298224172904
2020-04-03,10616.182201814912,50299.26205666654
2020-04-06,11337.962294856152,52219.08121913473
2020-04-07,11428.184806486308,52372.66675213219
2020-04-08,11247.739783225998,51835.11738664109
2020-04-09,11157.517271595843,54522.86421409656
2020-04-10,11307.888124312767,54215.69314810164
2020-04-13,11638.704000290003,54369.2786810991
2020-04-14,11999.594046810624,53678.143782610554
2020-04-15,12089.816558440778,54446.07144759783
2020-04-16,12180.039070070934,54676.44974709401
2020-04-17,12450.706604961399,54830.03528009147
2020-04-20,12751.448310395248,55213.99911258511
2020-04-21,12149.964899527547,54906.82804659019
2020-04-22,12510.854946048168,53217.387183618186
2020-04-23,12992.04167474233,53140.594417119464
2020-04-24,13292.783380176179,52910.21611762328
2020-04-27,13202.560868546025,51297.56802115
2020-04-28,12871.744992568789,51451.15355414746
2020-04-29,12931.893333655558,52219.08121913473
2020-05-04,12631.151628221709,51758.32462014237
2020-05-05,12871.744992568789,51297.56802115
2020-05-06,13352.931721262948,51911.91015313982
2020-05-07,14195.008496477729,53524.558249613096
2020-05-08,14074.71181430419,56442.683376564746
2020-05-11,14405.527690281424,57210.61104155202
2020-05-12,14225.082667021115,58055.33147303802
2020-05-13,14495.75020191158,58055.33147303802
2020-05-14,14405.527690281424,58362.50253903293
2020-05-15,14134.86015539096,58362.50253903293
2020-05-18,15097.23361277928,60282.321701501125
2020-05-19,15728.791194190366,60666.285533994764
2020-05-20,15909.236217450676,61127.042132987124
2020-05-21,15939.31038799406,62355.72639696677
2020-05-22,16390.422946144838,62202.14086396931
2020-05-25,16420.49711668822,62278.93363046804
2020-05-26,17082.128868642692,63354.03236145023
2020-05-27,16360.348775601451,63661.203427445136
2020-05-28,16360.348775601451,64889.887691424774
2020-05-29,16480.64545777499,65427.43705691587
2020-06-01,16631.016310491916,66425.74302139932
